idnum,year,time,average_pay,average_pay_ln,wcouncil,wcouncil_f,wagree,wagree_f,sector,profit,profit_f,emp,empt,empw,firmsize,firmsize_f
562,2002,4,1495.8833333333334,7.310472169753626,1,WC,0,NoSA,wholesretail,4,good,60,0.267,0.117,2,less100
562,2004,6,1889.5217391304348,7.544079027952486,1,WC,0,NoSA,wholesretail,2,sufficient,46,0.022,0.022,1,less50
562,2005,7,878.6964285714286,6.778439478047684,1,WC,0,NoSA,wholesretail,3,satisfactory,56,0.232,0.107,2,less100
568,2006,8,4032.7868852459014,8.302212950741188,0,NoWC,1,SA,wholesretail,4,good,122,0.484,0.402,3,less250
568,2007,9,3378.025,8.125046498169253,0,NoWC,0,NoSA,wholesretail,4,good,120,0.5,0.4,3,less250
568,2008,10,2147.1101694915255,7.671878109786115,0,NoWC,0,NoSA,wholesretail,4,good,118,0.508,0.39,3,less250
568,2009,11,1968.0661157024792,7.584806672425163,0,NoWC,0,NoSA,wholesretail,4,good,121,0.57,0.405,3,less250
612,2002,4,1138.921052631579,7.037836648166601,1,WC,0,NoSA,art,1,unsatisfactory,76,0.026,0.118,2,less100
612,2003,5,1252.835616438356,7.133164754301104,1,WC,0,NoSA,art,4,good,73,0.055,0.123,2,less100
612,2004,6,1413.3188405797102,7.253696005198509,1,WC,0,NoSA,art,1,unsatisfactory,69,0.029,0.116,2,less100
612,2007,9,1140.8028169014085,7.039487518890335,1,WC,0,NoSA,art,2,sufficient,71,0.056,0.127,2,less100
612,2008,10,1107.4324324324325,7.009799490967806,1,WC,0,NoSA,art,2,sufficient,74,0.027,0.162,2,less100
621,2002,4,625.6983240223464,6.438868344436477,0,NoWC,0,NoSA,manufacturing,2,sufficient,895,0.088,0.544,4,more250
621,2003,5,623.4511691884456,6.435270444793224,0,NoWC,0,NoSA,manufacturing,2,sufficient,727,0.114,0.557,4,more250
621,2004,6,566.8934240362812,6.340171321397538,0,NoWC,0,NoSA,manufacturing,2,sufficient,882,0.06,0.545,4,more250
621,2005,7,581.4960541149943,6.365604186234912,0,NoWC,0,NoSA,manufacturing,4,good,887,0.06,0.554,4,more250
621,2006,8,548.4949832775919,6.307178133415649,0,NoWC,0,NoSA,manufacturing,4,good,897,0.059,0.566,4,more250
621,2007,9,594.3739002932551,6.387508583107836,0,NoWC,0,NoSA,manufacturing,4,good,682,0.078,0.57,4,more250
690,2008,10,1995.735294117647,7.59876782989931,1,WC,0,NoSA,wholesretail,3,satisfactory,34,0.029,0.147,1,less50
690,2009,11,831.5588235294117,6.723302040002565,1,WC,1,SA,wholesretail,3,satisfactory,34,0.029,0.147,1,less50
690,2011,13,1884.8666666666666,7.541612363516516,1,WC,1,SA,wholesretail,3,satisfactory,30,0.033,0.133,1,less50
695,2001,3,4286.95234375,8.36333135007946,0,NoWC,0,NoSA,manufacturing,3,satisfactory,20,0.15,0.85,1,less50
695,2002,4,2916.714285714286,7.978213017080886,0,NoWC,0,NoSA,manufacturing,4,good,28,0.107,0.857,1,less50
695,2003,5,1693.8444444444444,7.4347560436310545,0,NoWC,0,NoSA,manufacturing,2,sufficient,45,0.044,0.844,1,less50
695,2004,6,2326.3030303030305,7.752035604172941,0,NoWC,0,NoSA,manufacturing,1,unsatisfactory,33,0.061,0.727,1,less50
695,2005,7,1871.5625,7.534528922458781,0,NoWC,0,NoSA,manufacturing,3,satisfactory,32,0.062,0.812,1,less50
695,2006,8,1650.9032258064517,7.409077826700326,0,NoWC,0,NoSA,manufacturing,4,good,31,0.097,0.645,1,less50
698,2013,15,2174.862068965517,7.68472052494429,1,WC,1,SA,manufacturing,4,good,29,0.241,0.793,1,less50
698,2014,16,2319.8571428571427,7.7492608864097745,1,WC,1,SA,manufacturing,5,very good,28,0.036,0.786,1,less50
698,2015,17,2451.4444444444443,7.804432698972152,1,WC,1,SA,manufacturing,4,good,27,0.074,0.778,1,less50
